Country,WomenEdu1,MenEdu1,WomenEdu2,MenEdu2,WomenEdu3,MenEdu3,Earning1,Earning2,Earning3,WomenRead,MenRead,WomenMath,MenMath,WomenSci,MenSci
Australia,87.9,85.6,77.70643616,80.36099243,47.23965073,38.44101334,79.30958696,74.66712573,75.08724202,529.542,495.09,497.821,510.115,519.124,523.728
Austria,81.5,77.9,80.65756989,88.66750336,29.14238548,31.96883392,79.1232446,79.65627228,69.18473756,508.021,471.093,494.462,516.682,501.479,510.108
Belgium,94.4,90.5,75.76482391,73.59464264,40.09137344,33.63914871,65.95381102,81.96069103,82.89558112,524.602,492.755,508.935,520.081,502.9,506.82
Canada,,,91.55436707,89.23860168,61.06367493,49.22613525,76.51425682,68.93252817,73.3265921,540.657,505.512,513.022,523.154,524.053,526.875
Chile,80.8,78.4,61.17844772,61.68700409,21.13286591,21.04001999,79.94863918,68.97025503,62.18203243,452.371,429.696,410.543,435.525,441.645,448.441
Czech Republic,91.2,89.7,91.27751923,94.99273682,23.44007301,20.96493912,82.88627453,80.04237818,70.93849857,512.79,473.983,492.903,504.71,507.855,508.721
Denmark,86.9,87.1,81.68304443,79.08144379,42.56522751,31.71661377,65.3584359,80.09584472,74.38997934,511.529,480.89,493.029,506.953,493.363,503.533
Estonia,90.7,88.6,93.04182434,88.76992798,47.36228561,28.33259773,79.18432677,57.49703536,68.08994549,537.833,494.319,517.93,523.214,542.608,540.177
Finland,86.4,85.6,90.05757141,84.30261993,49.34197617,36.26699448,75.65119811,78.48712959,76.06793553,555.708,494.006,520.185,517.391,553.893,537.436
France,86.4,83.9,76.30374908,78.38095093,35.77519989,31.19778442,,80.65431475,71.16087224,526.765,482.972,490.853,499.355,500.157,497.716
Germany,88.9,90.5,85.11934662,88.45458984,24.43727684,30.82279205,79.0544668,,,530.119,486,506.625,520.19,524.391,523.86
Greece,84.2,82.4,71.9875412,68.40900421,30.07840157,28.01159286,82.14684623,79.77690236,75.22940137,502.198,451.718,448.984,457.039,473.298,460.02
Hungary,87.2,85.7,81.59531403,84.90590668,27.31833458,21.03906441,,87.50560031,64.27982338,507.549,467.964,472.664,481.749,492.803,495.913
Iceland,,,75.09275818,74.30382538,46.32223892,31.44291878,77.29576969,,,508.39,457.275,495.947,489.72,479.669,476.676
Ireland,97.2,92.5,82.54441833,76.97574615,46.5472908,38.90760803,73.41436203,73.40796387,75.65019157,537.669,509.153,493.705,509.035,520,523.942
Israel,67.8,63.3,86.37523651,84.66606903,52.9790802,44.52685928,79.31446287,75.05800729,62.67230066,507.451,463.46,460.749,472.398,470.419,469.715
Italy,76.7,77.2,61.76874924,57.97066116,19.77890587,15.26283646,,78.17383158,69.77730595,509.945,470.938,475.794,494.199,492.087,494.897
Japan,58.7,57.6,,,49.5241127,49.558918,65.98994218,,,550.724,526.618,527.011,544.884,540.959,551.947
Korea,,,82.46576691,89.06739044,41.83980179,49.06227112,83.29697124,62.60388482,67.51933134,548.207,524.965,544.193,562.114,535.93,539.408
Latvia,92.5,91.3,91.47372437,83.76184082,40.1245842,22.29998398,,,,516,462,493,489,510,495
Luxembourg,77.3,75.3,74.00741577,75.18608093,39.9980011,39.59957886,73.83072118,76.54575378,76.305234,503.024,473.046,477.117,502.193,483.484,498.715
Mexico,55.6,55.6,34.76374817,36.38102722,15.31728172,17.39827156,77.20006796,80.09092551,69.84021707,435.272,411.365,406.427,420.411,411.836,418.128
Netherlands,93,91.3,75.4745636,77.32446289,34.96501923,35.69646072,79.48991774,79.17376118,73.92152294,524.761,498.317,517.738,527.967,520.415,523.622
New Zealand,84.9,79.6,73.71880341,75.80688477,36.94675446,30.89993668,82.06553127,78.24531092,78.0713481,529.765,495.365,492.057,507.112,513.297,517.875
Norway,87.1,86.9,82.71105194,82.04908752,47.20347977,38.42751312,72.67122227,79.71792844,75.2069937,527.771,481.284,488.293,490.399,496.346,492.792
Poland,89.7,88.9,90.97116852,90.58200836,32.59673691,22.82828331,75.56404224,79.02167975,71.2274681,538.687,496.706,515.533,519.564,527.149,524.421
Portugal,90.2,88.2,48.56871414,41.37767792,26.91789436,18.4442215,71.50794259,72.1874166,70.41676809,507.562,468.39,481.296,492.703,490.224,488.346
Slovak Republic,85.5,83.9,89.92725372,92.64154053,23.89891434,18.40433884,84.57788436,16.79395722,70.87918645,483.303,444.081,476.712,486.134,467.385,474.658
Slovenia,92.5,93.8,85.53470612,87.96339417,36.68733597,24.04727554,74.70412749,88.22533523,81.8850266,510.15,454.466,499.387,502.748,518.717,509.882
Spain,88.5,85.9,59.5511055,55.31648636,37.504776,32.65722656,83.038272,73.50351366,79.42737458,502.511,473.806,475.965,492.422,492.658,500.119
Sweden,85,85.7,83.08555603,80.89860535,46.75431061,33.02186966,85.52950236,81.30421076,82.84549727,509.135,457.991,479.629,476.916,488.513,481.151
Switzerland,84.5,86.4,86.74397278,89.5532608,36.7510376,46.5003624,68.56295134,84.21234703,77.60965427,527.064,491.074,524.473,537.369,512.331,518.255
Turkey,72.2,72.2,32.32263947,41.09124374,16.38375092,19.45643234,78.48622983,86.1179631,82,498.64,452.843,443.948,451.934,468.622,458.316
United Kingdom,86.2,83.1,78.26951599,79.89250946,44.85755539,42.10374451,72.25173655,71.26684119,76.76333225,511.534,486.631,487.815,500.295,507.883,520.622
United States,83.5,79.7,90.37541962,88.6756897,47.412323,41.73570633,,74.86005946,66.47538323,513.269,482.498,478.995,483.647,498.325,496.529
Average,84.221875,82.634375,77.16687775,77.12739462,37.15142604,31.8557185,76.7974248,75.12118609,73.26860572,515.4433714,477.3791429,488.6782857,499.1234857,500.6805143,501.6675429