Christian,Muslim,Unaffiliated,Hindu,Buddhist,FolkReligion,OtherReligion,Jewish
67.30,2.40,24.20,1.40,2.70,0.70,0.80,0.50
80.40,5.40,13.50,0.00,0.20,0.00,0.10,0.20
64.20,5.90,29.00,0.00,0.20,0.20,0.09,0.30
69.00,2.10,23.70,1.40,0.80,1.20,0.90,1.00
89.40,0.00,8.60,0.00,0.06,1.50,0.20,0.10
23.30,0.00,76.40,0.00,0.00,0.00,0.00,0.00
83.50,4.10,11.80,0.40,0.20,0.00,0.00,0.00
39.90,0.20,59.60,0.00,0.00,0.00,0.00,0.10
81.60,0.80,17.60,0.00,0.00,0.00,0.00,0.00
63.00,7.50,28.00,0.05,0.50,0.30,0.20,0.50
68.70,5.80,24.70,0.10,0.30,0.05,0.10,0.30
88.10,5.30,6.10,0.10,0.00,0.10,0.00,0.00
81.00,0.00,18.60,0.00,0.00,0.00,0.00,0.10
95.00,0.20,3.50,0.30,0.40,0.50,0.20,0.00
92.00,1.10,6.20,0.20,0.20,0.20,0.00,0.00
2.00,18.60,3.10,0.00,0.30,0.20,0.10,75.60
83.30,3.70,12.40,0.10,0.20,0.10,0.10,0.08
1.60,0.20,57.00,0.02,36.20,0.40,4.70,0.00
29.40,0.20,46.40,0.00,22.90,0.80,0.20,0.00
55.80,0.10,43.80,0.00,0.00,0.00,0.20,0.00
70.40,2.30,26.80,0.00,0.00,0.00,0.30,0.10
95.10,0.01,4.70,0.00,0.07,0.06,0.02,0.06
50.60,6.00,42.10,0.50,0.20,0.20,0.20,0.20
57.00,1.20,36.60,2.10,1.60,0.50,0.70,0.20
84.70,3.70,10.10,0.50,0.60,0.00,0.20,0.00
94.30,0.10,5.60,0.00,0.00,0.00,0.00,0.03
93.80,0.60,4.40,0.10,0.60,0.50,0.00,0.00
85.30,0.20,14.30,0.00,0.00,0.00,0.00,0.00
78.40,3.60,18.00,0.00,0.00,0.00,0.00,0.00
78.60,2.10,19.00,0.04,0.00,0.04,0.02,0.10
67.20,4.60,27.00,0.20,0.40,0.20,0.20,0.10
81.30,5.50,11.90,0.40,0.40,0.00,0.10,0.30
0.40,98.00,1.20,0.00,0.05,0.03,0.20,0.03
71.10,4.40,21.30,1.30,0.40,0.30,0.80,0.50
78.30,0.90,16.40,0.60,1.20,0.20,0.60,1.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00